manufacturer,model,slug,u_height
Cisco,AIR-CT5508-12-K9,air-ct5508-12-k9,1
Cisco,AIR-CT5508-25-K9,air-ct5508-25-k9,1
Cisco,AIR-CT5508-50-K9,air-ct5508-50-k9,1
Cisco,AIR-CT5508-100-K9,air-ct5508-100-k9,1
Cisco,AIR-CT5508-250-K9,air-ct5508-250-k9,1
Cisco,AIR-CT5508-500-K9,air-ct5508-500-k9,1
Cisco,AIR-CT5508-HA-K9,air-ct5508-ha-k9,1
