manufacturer,model,slug,u_height
Cisco,C892FSP-K9,C892FSP-K9,1
Cisco,C896VA-K9,C896VA-K9,1
Cisco,C897VA-K9,C897VA-K9,1
Cisco,C897VAW-A-K9,C897VAW-A-K9,1
Cisco,C897VA-M-K9,C897VA-M-K9,1
Cisco,C897VAB-K9,C897VAB-K9,1
Cisco,C898EA-K9,C898EA-K9,1
Cisco,C891F-K9,C891F-K9,1
Cisco,C891-24X/K9,C891-24X/K9,1
Cisco,C891FW-A-K9,C891FW-A-K9,1
Cisco,C892FSP-K9,C892FSP-K9,1
Cisco,C896VA-K9,C896VA-K9,1
Cisco,C881-K9,C881-K9,1
Cisco,CISCO881-K9,CISCO881-K9,1
Cisco,C881-CUBE-K9,C881-CUBE-K9,1
Cisco,CISCO881-SEC-K9,CISCO881-SEC-K9,1
Cisco,CISCO881W-GN-A-K9,CISCO881W-GN-A-K9,1
Cisco,CISCO881G-K9,CISCO881G-K9,1
Cisco,CISCO881GW-GN-A-K9,CISCO881GW-GN-A-K9,1
Cisco,CISCO881G-S-K9,CISCO881G-S-K9,1
Cisco,CISCO881G-V-K9,CISCO881G-V-K9,1
Cisco,CISCO881G-A-K9,CISCO881G-A-K9,1
