manufacturer,model,slug,u_height
Cisco,WS-C3560CX-8TC-S,WS-C3560CX-8TC-S,1
Cisco,WS-C3560CX-12TC-S,WS-C3560CX-12TC-S,1
Cisco,WS-C3560CX-8PC-S,WS-C3560CX-8PC-S,1
Cisco,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,1
Cisco,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,1
Cisco,WS-C3560CX-8PT-S,WS-C3560CX-8PT-S,1
Cisco,WS-C3560CX-8XPD-S,WS-C3560CX-8XPD-S,1
Cisco,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,1
Cisco,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,1
