manufacturer,model,slug,u_height
Cisco,WAP551-A-K9,wap551-a-k9,1
Cisco,WAP561-A-K9,wap561-a-k9,1
Cisco,WAP551-E-K9,wap551-e-k9,1
Cisco,WAP561-E-K9,wap561-e-k9,1
