manufacturer,model,slug,u_height
Cisco,AIR-AP2702I-UXK9,air-ap2702i-uxk9,1
Cisco,AIR-AP2702I-UXK9C,air-ap2702i-uxk9c,1
Cisco,AIR-AP2702E-UXK9,air-ap2702e-uxk9,1
Cisco,AIR-AP2702E-UXK9C,air-ap2702e-uxk9c,1
Cisco,AIR-CAP2702I-x-K9,air-cap2702i-x-k9,1
Cisco,AIR-CAP2702E-x-K9,air-cap2702e-x-k9,1
