manufacturer,model,slug,u_height
Cisco,AIR-AP1815i-x-K9,air-ap1815i-x-k9,1
Cisco,AIR-AP1815i-x-K9C,air-ap1815i-x-k9c,1
Cisco,AIR-AP1832I-x-K9,air-ap1832i-x-k9,1
Cisco,AIR-AP1852I-x-K9,air-ap1852i-x-k9,1
Cisco,AIR-AP1852E-x-K9,air-ap1852e-x-k9,1
